
"Order No.,Time,Symbol,Side,Price,Quantity,Fee,Role,Realized Profit"
"11571584405,2026-01-11 03:33:02,BTCUSDT Perp,Sell,""90,539.90"",""362.2 USDT"",""0.07243192 USDT"",Maker,0.00682343 USDT"
"11571584379,2026-01-11 03:33:01,BTCUSDT Perp,Sell,""90,539.90"",""905.4 USDT"",""0.18107980 USDT"",Maker,0.01705857 USDT"
"11571584379,2026-01-11 03:33:01,BTCUSDT Perp,Sell,""90,539.90"",""362.2 USDT"",""0.07243192 USDT"",Maker,0.00682343 USDT"
"11571584379,2026-01-11 03:33:01,BTCUSDT Perp,Sell,""90,539.90"",""633.8 USDT"",""0.12675586 USDT"",Maker,0.01194100 USDT"
"11571584379,2026-01-11 03:33:01,BTCUSDT Perp,Sell,""90,539.90"",""181.1 USDT"",""0.03621596 USDT"",Maker,0.00341171 USDT"
"11571011894,2026-01-11 03:02:06,BTCUSDT Perp,Buy,""90,538.20"",""20,371.1 USDT"",""8.14843800 USDT"",Taker,0.00000000 USDT"
"11571011894,2026-01-11 03:02:06,BTCUSDT Perp,Buy,""90,538.10"",""724.4 USDT"",""0.28972192 USDT"",Taker,0.00000000 USDT"
"11571011894,2026-01-11 03:02:06,BTCUSDT Perp,Buy,""90,538.10"",""543.3 USDT"",""0.21729144 USDT"",Taker,0.00000000 USDT"
"11570527558,2026-01-11 02:36:03,BTCUSDT Perp,Buy,""90,666.80"",""19,130.7 USDT"",""3.82613896 USDT"",Maker,-7.42614500 USDT"
"11570526980,2026-01-11 02:36:02,BTCUSDT Perp,Buy,""90,666.80"",""725.4 USDT"",""0.14506688 USDT"",Maker,-0.28156000 USDT"
"11570526980,2026-01-11 02:36:02,BTCUSDT Perp,Buy,""90,666.80"",""453.4 USDT"",""0.09066680 USDT"",Maker,-0.17597500 USDT"
"11570526980,2026-01-11 02:36:02,BTCUSDT Perp,Buy,""90,666.80"",""362.7 USDT"",""0.07253344 USDT"",Maker,-0.14078000 USDT"
"11570526404,2026-01-11 02:36:01,BTCUSDT Perp,Buy,""90,666.90"",""453.4 USDT"",""0.09066690 USDT"",Maker,-0.17647500 USDT"
"11570526404,2026-01-11 02:36:00,BTCUSDT Perp,Buy,""90,666.90"",""453.4 USDT"",""0.09066690 USDT"",Maker,-0.17647500 USDT"
"11570526404,2026-01-11 02:36:00,BTCUSDT Perp,Buy,""90,666.90"",""181.4 USDT"",""0.03626676 USDT"",Maker,-0.07059000 USDT"
"11568931741,2026-01-11 01:07:07,BTCUSDT Perp,Sell,""90,631.50"",""9,788.3 USDT"",""3.91528080 USDT"",Taker,0.00000000 USDT"
"11568931741,2026-01-11 01:07:07,BTCUSDT Perp,Sell,""90,631.60"",""181.3 USDT"",""0.07250528 USDT"",Taker,0.00000000 USDT"
"11568931741,2026-01-11 01:07:07,BTCUSDT Perp,Sell,""90,631.60"",""906.4 USDT"",""0.36252640 USDT"",Taker,0.00000000 USDT"
"11568931464,2026-01-11 01:07:07,BTCUSDT Perp,Sell,""90,631.70"",""453.2 USDT"",""0.09063170 USDT"",Maker,0.00000000 USDT"
"11568931464,2026-01-11 01:07:06,BTCUSDT Perp,Sell,""90,631.70"",""362.6 USDT"",""0.07250536 USDT"",Maker,0.00000000 USDT"
"11568931038,2026-01-11 01:07:05,BTCUSDT Perp,Sell,""90,631.70"",""906.4 USDT"",""0.18126340 USDT"",Maker,0.00000000 USDT"
"11568931038,2026-01-11 01:07:05,BTCUSDT Perp,Sell,""90,631.70"",""453.2 USDT"",""0.09063170 USDT"",Maker,0.00000000 USDT"
"11568931038,2026-01-11 01:07:05,BTCUSDT Perp,Sell,""90,631.70"",""271.9 USDT"",""0.05437902 USDT"",Maker,0.00000000 USDT"
"11568930712,2026-01-11 01:07:04,BTCUSDT Perp,Sell,""90,631.70"",""181.3 USDT"",""0.03625268 USDT"",Maker,0.00000000 USDT"
"11568930712,2026-01-11 01:07:04,BTCUSDT Perp,Sell,""90,631.70"",""453.2 USDT"",""0.09063170 USDT"",Maker,0.00000000 USDT"
"11568930712,2026-01-11 01:07:04,BTCUSDT Perp,Sell,""90,631.70"",""453.2 USDT"",""0.09063170 USDT"",Maker,0.00000000 USDT"
"11568930712,2026-01-11 01:07:03,BTCUSDT Perp,Sell,""90,631.70"",""815.7 USDT"",""0.16313706 USDT"",Maker,0.00000000 USDT"
"11568930304,2026-01-11 01:07:03,BTCUSDT Perp,Sell,""90,631.70"",""906.4 USDT"",""0.18126340 USDT"",Maker,0.00000000 USDT"
"11568930304,2026-01-11 01:07:02,BTCUSDT Perp,Sell,""90,631.70"",""4,984.8 USDT"",""0.99694870 USDT"",Maker,0.00000000 USDT"
"11568929789,2026-01-11 01:07:01,BTCUSDT Perp,Sell,""90,631.70"",""634.5 USDT"",""0.12688438 USDT"",Maker,0.00000000 USDT"
